Land Use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Children’s Museum – StaffCustomer,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.0,0.0,0.0,0.0,
Children’s Museum – StaffEmployee,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
Children’s Museum – StorageCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Children’s Museum – StorageEmployee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Children’s Museum – VisitorsCustomer,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.5,0.3,0.2,0.1,0.05,0.0,0.0
Children’s Museum – VisitorsEmployee,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
General Village NeedsCustomer,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.3,0.2,0.1,0.1,0.05
General Village NeedsEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
History Museum – ExhibitCustomer,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,0.9,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0,0.0
History Museum – ExhibitEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0,
